Area,Age,Year at 30 June,Sex,Value,Flags
"Canterbury region","45-49 Years","2011","Male",20340,
"Canterbury region","45-49 Years","2012","Male",19840,
"Canterbury region","45-49 Years","2013","Male",19910,
"Canterbury region","45-49 Years","2014","Male",20280,
"Canterbury region","45-49 Years","2015","Male",20600,
"Canterbury region","45-49 Years","2006","Female",20260,
"Canterbury region","45-49 Years","2007","Female",20970,
"Canterbury region","45-49 Years","2008","Female",21510,
"Canterbury region","45-49 Years","2009","Female",21840,
"Canterbury region","45-49 Years","2010","Female",22010,
"Canterbury region","45-49 Years","2011","Female",21390,
"Canterbury region","45-49 Years","2012","Female",20860,
"Canterbury region","45-49 Years","2013","Female",20810,
"Canterbury region","45-49 Years","2014","Female",20760,
"Canterbury region","45-49 Years","2015","Female",20980,
"Wellington region","50-54 Years","2006","Male",13920,
"Wellington region","50-54 Years","2007","Male",14240,
"Wellington region","50-54 Years","2008","Male",14460,
"Wellington region","50-54 Years","2009","Male",15060,
"Wellington region","50-54 Years","2010","Male",15470,
"Wellington region","50-54 Years","2011","Male",15910,
"Wellington region","50-54 Years","2012","Male",16290,
"Wellington region","50-54 Years","2013","Male",16540,
"Wellington region","50-54 Years","2014","Male",16590,
"Wellington region","50-54 Years","2015","Male",16720,
"Wellington region","50-54 Years","2006","Female",14590,
"Wellington region","50-54 Years","2007","Female",14880,
"Wellington region","50-54 Years","2008","Female",15260,
"Wellington region","50-54 Years","2009","Female",15590,
"Wellington region","50-54 Years","2010","Female",16250,
"Wellington region","50-54 Years","2011","Female",16790,
"Wellington region","50-54 Years","2012","Female",17280,
"Wellington region","50-54 Years","2013","Female",17830,
"Wellington region","50-54 Years","2014","Female",18080,
"Wellington region","50-54 Years","2015","Female",17960,
"Tasman region","50-54 Years","2006","Male",1730,
"Tasman region","50-54 Years","2007","Male",1790,
"Tasman region","50-54 Years","2008","Male",1830,
"Tasman region","50-54 Years","2009","Male",1840,
"Tasman region","50-54 Years","2010","Male",1860,
"Tasman region","50-54 Years","2011","Male",1890,
"Tasman region","50-54 Years","2012","Male",1880,
"Tasman region","50-54 Years","2013","Male",1890,
"Tasman region","50-54 Years","2014","Male",1880,
"Tasman region","50-54 Years","2015","Male",1940,
"Tasman region","50-54 Years","2006","Female",1670,
"Tasman region","50-54 Years","2007","Female",1730,
"Tasman region","50-54 Years","2008","Female",1760,
"Tasman region","50-54 Years","2009","Female",1830,
"Tasman region","50-54 Years","2010","Female",1870,
"Tasman region","50-54 Years","2011","Female",1990,
"Tasman region","50-54 Years","2012","Female",2000,
"Tasman region","50-54 Years","2013","Female",2050,
"Tasman region","50-54 Years","2014","Female",2090,
"Tasman region","50-54 Years","2015","Female",2100,
"Nelson region","50-54 Years","2006","Male",1520,
"Nelson region","50-54 Years","2007","Male",1530,
"Nelson region","50-54 Years","2008","Male",1580,
"Nelson region","50-54 Years","2009","Male",1650,
"Nelson region","50-54 Years","2010","Male",1710,
"Nelson region","50-54 Years","2011","Male",1760,
"Nelson region","50-54 Years","2012","Male",1810,
"Nelson region","50-54 Years","2013","Male",1840,
"Nelson region","50-54 Years","2014","Male",1880,
"Nelson region","50-54 Years","2015","Male",1790,
"Nelson region","50-54 Years","2006","Female",1660,
"Nelson region","50-54 Years","2007","Female",1690,
"Nelson region","50-54 Years","2008","Female",1730,
"Nelson region","50-54 Years","2009","Female",1810,
"Nelson region","50-54 Years","2010","Female",1860,
"Nelson region","50-54 Years","2011","Female",1890,
"Nelson region","50-54 Years","2012","Female",1970,
"Nelson region","50-54 Years","2013","Female",2040,
"Nelson region","50-54 Years","2014","Female",2010,
"Nelson region","50-54 Years","2015","Female",2010,
"Marlborough region","50-54 Years","2006","Male",1560,
"Marlborough region","50-54 Years","2007","Male",1590,
"Marlborough region","50-54 Years","2008","Male",1650,
"Marlborough region","50-54 Years","2009","Male",1700,
"Marlborough region","50-54 Years","2010","Male",1710,
"Marlborough region","50-54 Years","2011","Male",1690,
"Marlborough region","50-54 Years","2012","Male",1660,
"Marlborough region","50-54 Years","2013","Male",1640,
"Marlborough region","50-54 Years","2014","Male",1640,
"Marlborough region","50-54 Years","2015","Male",1600,
"Marlborough region","50-54 Years","2006","Female",1570,
"Marlborough region","50-54 Years","2007","Female",1580,
"Marlborough region","50-54 Years","2008","Female",1620,
"Marlborough region","50-54 Years","2009","Female",1650,
"Marlborough region","50-54 Years","2010","Female",1710,
"Marlborough region","50-54 Years","2011","Female",1770,
"Marlborough region","50-54 Years","2012","Female",1780,
"Marlborough region","50-54 Years","2013","Female",1800,
"Marlborough region","50-54 Years","2014","Female",1790,
"Marlborough region","50-54 Years","2015","Female",1770,
"West Coast region","50-54 Years","2006","Male",1300,
"West Coast region","50-54 Years","2007","Male",1330,
"West Coast region","50-54 Years","2008","Male",1320,
"West Coast region","50-54 Years","2009","Male",1360,
"West Coast region","50-54 Years","2010","Male",1420,
"West Coast region","50-54 Years","2011","Male",1440,
"West Coast region","50-54 Years","2012","Male",1450,
"West Coast region","50-54 Years","2013","Male",1440,
"West Coast region","50-54 Years","2014","Male",1410,
"West Coast region","50-54 Years","2015","Male",1370,
"West Coast region","50-54 Years","2006","Female",1080,
"West Coast region","50-54 Years","2007","Female",1140,
"West Coast region","50-54 Years","2008","Female",1170,
"West Coast region","50-54 Years","2009","Female",1220,
"West Coast region","50-54 Years","2010","Female",1250,
"West Coast region","50-54 Years","2011","Female",1340,
"West Coast region","50-54 Years","2012","Female",1370,
"West Coast region","50-54 Years","2013","Female",1400,
"West Coast region","50-54 Years","2014","Female",1450,
"West Coast region","50-54 Years","2015","Female",1400,
"Canterbury region","50-54 Years","2006","Male",17590,
"Canterbury region","50-54 Years","2007","Male",17970,
"Canterbury region","50-54 Years","2008","Male",18400,
"Canterbury region","50-54 Years","2009","Male",18980,
"Canterbury region","50-54 Years","2010","Male",19550,
"Canterbury region","50-54 Years","2011","Male",19560,
"Canterbury region","50-54 Years","2012","Male",19880,
"Canterbury region","50-54 Years","2013","Male",20460,
"Canterbury region","50-54 Years","2014","Male",20590,
"Canterbury region","50-54 Years","2015","Male",20700,
"Canterbury region","50-54 Years","2006","Female",17970,
"Canterbury region","50-54 Years","2007","Female",18430,
"Canterbury region","50-54 Years","2008","Female",18840,
"Canterbury region","50-54 Years","2009","Female",19430,
"Canterbury region","50-54 Years","2010","Female",19960,
"Canterbury region","50-54 Years","2011","Female",19990,
"Canterbury region","50-54 Years","2012","Female",20360,
"Canterbury region","50-54 Years","2013","Female",20880,
"Canterbury region","50-54 Years","2014","Female",21200,
"Canterbury region","50-54 Years","2015","Female",21320,
"Wellington region","55-59 Years","2006","Male",13100,
"Wellington region","55-59 Years","2007","Male",12950,
"Wellington region","55-59 Years","2008","Male",12960,
"Wellington region","55-59 Years","2009","Male",12920,
"Wellington region","55-59 Years","2010","Male",13060,
"Wellington region","55-59 Years","2011","Male",13310,
"Wellington region","55-59 Years","2012","Male",13650,
"Wellington region","55-59 Years","2013","Male",13920,
"Wellington region","55-59 Years","2014","Male",14490,
"Wellington region","55-59 Years","2015","Male",14910,
"Wellington region","55-59 Years","2006","Female",13340,
"Wellington region","55-59 Years","2007","Female",13340,
"Wellington region","55-59 Years","2008","Female",13250,
"Wellington region","55-59 Years","2009","Female",13410,
"Wellington region","55-59 Years","2010","Female",13640,
"Wellington region","55-59 Years","2011","Female",14070,
"Wellington region","55-59 Years","2012","Female",14430,
"Wellington region","55-59 Years","2013","Female",14780,
"Wellington region","55-59 Years","2014","Female",15150,
"Wellington region","55-59 Years","2015","Female",15800,
"Tasman region","55-59 Years","2006","Male",1680,
"Tasman region","55-59 Years","2007","Male",1670,
"Tasman region","55-59 Years","2008","Male",1650,
"Tasman region","55-59 Years","2009","Male",1680,
"Tasman region","55-59 Years","2010","Male",1680,
"Tasman region","55-59 Years","2011","Male",1760,
"Tasman region","55-59 Years","2012","Male",1820,
"Tasman region","55-59 Years","2013","Male",1860,
"Tasman region","55-59 Years","2014","Male",1860,
"Tasman region","55-59 Years","2015","Male",1880,
"Tasman region","55-59 Years","2006","Female",1670,
"Tasman region","55-59 Years","2007","Female",1720,
"Tasman region","55-59 Years","2008","Female",1710,
"Tasman region","55-59 Years","2009","Female",1700,
"Tasman region","55-59 Years","2010","Female",1740,
"Tasman region","55-59 Years","2011","Female",1750,
"Tasman region","55-59 Years","2012","Female",1810,
"Tasman region","55-59 Years","2013","Female",1830,
"Tasman region","55-59 Years","2014","Female",1910,
"Tasman region","55-59 Years","2015","Female",1910,
"Nelson region","55-59 Years","2006","Male",1450,
"Nelson region","55-59 Years","2007","Male",1430,
"Nelson region","55-59 Years","2008","Male",1440,
"Nelson region","55-59 Years","2009","Male",1430,
"Nelson region","55-59 Years","2010","Male",1480,
"Nelson region","55-59 Years","2011","Male",1520,
"Nelson region","55-59 Years","2012","Male",1520,
"Nelson region","55-59 Years","2013","Male",1590,
"Nelson region","55-59 Years","2014","Male",1660,
"Nelson region","55-59 Years","2015","Male",1750,
"Nelson region","55-59 Years","2006","Female",1480,
"Nelson region","55-59 Years","2007","Female",1510,
"Nelson region","55-59 Years","2008","Female",1520,
"Nelson region","55-59 Years","2009","Female",1540,
"Nelson region","55-59 Years","2010","Female",1600,
"Nelson region","55-59 Years","2011","Female",1730,
"Nelson region","55-59 Years","2012","Female",1740,
"Nelson region","55-59 Years","2013","Female",1780,
"Nelson region","55-59 Years","2014","Female",1830,
"Nelson region","55-59 Years","2015","Female",1870,
"Marlborough region","55-59 Years","2006","Male",1640,
"Marlborough region","55-59 Years","2007","Male",1630,
"Marlborough region","55-59 Years","2008","Male",1590,
"Marlborough region","55-59 Years","2009","Male",1580,
"Marlborough region","55-59 Years","2010","Male",1580,
"Marlborough region","55-59 Years","2011","Male",1590,
"Marlborough region","55-59 Years","2012","Male",1580,
"Marlborough region","55-59 Years","2013","Male",1620,
"Marlborough region","55-59 Years","2014","Male",1680,
"Marlborough region","55-59 Years","2015","Male",1710,
"Marlborough region","55-59 Years","2006","Female",1640,
"Marlborough region","55-59 Years","2007","Female",1650,
"Marlborough region","55-59 Years","2008","Female",1620,
"Marlborough region","55-59 Years","2009","Female",1630,
"Marlborough region","55-59 Years","2010","Female",1600,
"Marlborough region","55-59 Years","2011","Female",1600,
"Marlborough region","55-59 Years","2012","Female",1610,
"Marlborough region","55-59 Years","2013","Female",1620,
"Marlborough region","55-59 Years","2014","Female",1660,
"Marlborough region","55-59 Years","2015","Female",1740,
"West Coast region","55-59 Years","2006","Male",1170,
"West Coast region","55-59 Years","2007","Male",1150,
"West Coast region","55-59 Years","2008","Male",1180,
"West Coast region","55-59 Years","2009","Male",1220,
"West Coast region","55-59 Years","2010","Male",1220,
"West Coast region","55-59 Years","2011","Male",1280,
"West Coast region","55-59 Years","2012","Male",1310,
"West Coast region","55-59 Years","2013","Male",1320,
"West Coast region","55-59 Years","2014","Male",1350,
"West Coast region","55-59 Years","2015","Male",1380,
"West Coast region","55-59 Years","2006","Female",1070,
"West Coast region","55-59 Years","2007","Female",1030,
"West Coast region","55-59 Years","2008","Female",1010,
"West Coast region","55-59 Years","2009","Female",1030,
"West Coast region","55-59 Years","2010","Female",1060,
"West Coast region","55-59 Years","2011","Female",1110,
"West Coast region","55-59 Years","2012","Female",1160,
"West Coast region","55-59 Years","2013","Female",1170,
"West Coast region","55-59 Years","2014","Female",1190,
"West Coast region","55-59 Years","2015","Female",1240,
"Canterbury region","55-59 Years","2006","Male",16520,
"Canterbury region","55-59 Years","2007","Male",16550,
"Canterbury region","55-59 Years","2008","Male",16650,
"Canterbury region","55-59 Years","2009","Male",16780,
"Canterbury region","55-59 Years","2010","Male",17060,
"Canterbury region","55-59 Years","2011","Male",17160,
