"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","30-34 years",2,0,1,1,2,1,0,2,0,2,1,1,2,2,8,4,3,1,1,5,2,4,6,5,2
" "," ","35-39 years",0,0,1,1,2,2,0,1,1,1,0,6,2,2,0,4,3,0,1,1,1,0,0,0,3
" "," ","40-44 years",0,1,1,1,0,0,2,1,0,0,0,1,1,1,3,0,0,2,0,1,1,0,0,3,1
" "," ","45-49 years",1,1,0,2,1,0,1,1,0,0,2,2,0,1,1,0,2,0,1,1,0,0,0,2,2
" "," ","50-54 years",1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,1,1,3,2,2,2,1,2
" "," ","55-59 years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,3
" "," ","60-64 years",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,1,1,1,0
" "," ","65-69 years",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" ","Buller District","0-4 years",2,0,0,3,5,1,2,5,0,1,2,5,3,3,2,3,0,6,8,2,5,6,3,1,0
" "," ","5-9 years",2,4,1,2,4,2,2,1,2,1,2,2,4,5,3,0,4,9,7,4,1,5,4,4,1
" "," ","10-14 years",2,2,0,0,1,3,1,3,2,3,5,3,4,1,3,4,6,5,1,1,2,1,3,3,1
" "," ","15-19 years",0,1,2,5,3,3,2,0,3,2,3,1,3,1,1,4,0,8,2,4,1,1,1,1,3
" "," ","20-24 years",6,5,7,10,5,5,7,3,3,3,6,9,4,8,2,8,2,11,8,1,4,4,4,5,3
" "," ","25-29 years",7,7,11,6,6,13,6,3,5,9,7,5,6,6,11,15,5,8,16,12,6,10,8,6,3
" "," ","30-34 years",4,4,4,9,6,3,8,4,2,4,4,1,7,5,5,4,3,12,7,8,8,15,4,10,2
" "," ","35-39 years",4,1,4,4,5,6,5,5,0,1,5,7,7,5,7,8,7,4,6,2,3,1,5,2,2
" "," ","40-44 years",1,1,1,0,3,2,3,0,2,0,1,3,6,4,1,3,3,3,5,2,5,0,5,2,2
" "," ","45-49 years",3,0,0,1,1,2,2,0,0,0,1,3,1,1,0,2,2,3,1,1,3,1,3,0,2
" "," ","50-54 years",0,0,0,1,0,2,0,0,0,2,2,0,0,3,1,3,3,1,3,4,2,1,3,1,2
" "," ","55-59 years",0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,4,2,1,2,1,2,1,1,0
" "," ","60-64 years",0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,2,6
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,0,0,3
" "," ","70-74 years",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
" "," ","75 years and over",0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
" ","Grey District","0-4 years",1,2,3,2,5,2,3,3,2,1,1,1,6,3,0,4,5,7,4,8,0,4,6,2,5
" "," ","5-9 years",0,1,1,1,3,3,3,1,4,3,2,1,1,3,3,5,6,8,4,6,3,0,7,7,3
" "," ","10-14 years",1,0,2,2,3,2,2,1,2,2,2,2,3,5,7,2,3,4,5,7,4,3,3,0,1
" "," ","15-19 years",2,6,5,3,11,5,3,0,2,1,2,3,4,7,3,2,1,9,4,7,4,3,1,3,1
" "," ","20-24 years",11,13,6,5,7,7,5,5,4,9,6,8,2,9,2,3,5,7,9,4,9,6,10,8,7
" "," ","25-29 years",16,9,10,10,11,11,17,6,14,10,13,10,9,7,10,17,12,14,10,6,7,9,6,17,13
" "," ","30-34 years",3,5,7,5,6,11,5,1,4,4,7,7,10,6,8,12,6,7,10,5,4,3,4,8,6
" "," ","35-39 years",2,3,2,2,2,4,1,0,10,3,1,5,3,4,3,4,6,13,14,6,4,3,6,1,4
" "," ","40-44 years",3,1,1,1,2,3,2,2,1,0,0,3,3,4,5,1,2,8,5,5,5,1,5,3,5
" "," ","45-49 years",1,1,0,0,3,0,0,1,1,3,2,1,2,3,6,0,6,7,9,5,0,2,2,2,5
" "," ","50-54 years",0,1,0,3,1,1,1,2,1,0,0,3,2,3,3,2,1,3,2,2,1,0,5,2,2
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,1,0,2,0,1,6,1,3,1,0,2,1,0,2,3,6
" "," ","60-64 years",1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,3,3,0,3,0
" "," ","65-69 years",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,1,0
" "," ","70-74 years",0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
" ","Westland District","0-4 years",2,1,6,0,4,0,3,1,2,0,4,3,5,3,0,4,2,1,1,2,4,3,1,2,2
" "," ","5-9 years",1,1,3,1,0,4,3,0,0,1,2,1,2,1,1,1,3,1,3,2,1,2,2,1,0
" "," ","10-14 years",0,0,0,2,2,4,1,2,0,4,1,1,4,0,1,1,2,1,0,2,1,0,0,3,1
" "," ","15-19 years",2,4,1,3,2,3,3,2,4,9,6,4,7,4,5,2,3,2,8,4,0,1,2,4,2
" "," ","20-24 years",7,8,5,6,8,3,4,4,7,6,5,6,2,5,5,8,5,6,5,5,6,6,7,9,22
" "," ","25-29 years",2,5,3,3,4,7,9,7,6,3,9,7,11,9,20,8,10,8,14,8,8,8,14,24,16
" "," ","30-34 years",2,2,5,7,4,2,3,3,3,5,4,6,14,8,7,8,2,6,5,2,4,6,10,7,8
" "," ","35-39 years",2,0,1,3,1,5,7,2,1,4,3,4,4,1,1,2,3,3,5,0,2,3,3,4,5
" "," ","40-44 years",0,1,1,2,1,2,1,0,0,0,2,2,6,0,9,2,0,3,2,1,1,2,0,1,4
" "," ","45-49 years",0,0,2,2,1,1,2,0,1,1,1,2,2,2,1,1,1,3,3,1,1,2,1,1,0
" "," ","50-54 years",0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,2,3,1,2,0,1,2,5,0
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,0,3,1,0,0,0,2,3
" "," ","60-64 years",0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,1,1,2,0,2
" "," ","65-69 years",0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0
" ","Hurunui District","0-4 years",3,1,0,1,0,4,1,2,1,3,1,4,0,4,3,2,4,7,4,0,4,3,9,3,6
" "," ","5-9 years",1,1,1,2,0,4,1,3,1,1,2,2,4,6,0,2,3,9,1,0,1,2,3,8,1
" "," ","10-14 years",2,2,3,1,0,3,0,0,0,0,1,3,5,1,3,3,3,5,0,2,1,3,0,1,2
" "," ","15-19 years",3,3,2,3,2,2,3,5,3,4,5,1,5,5,6,2,1,1,7,5,4,3,8,4,1
" "," ","20-24 years",12,8,16,12,0,12,8,6,1,9,6,9,7,13,8,8,6,9,8,12,10,6,13,14,16
" "," ","25-29 years",12,11,8,6,10,9,14,7,8,7,14,10,15,13,13,15,7,24,20,13,17,17,15,24,16
" "," ","30-34 years",4,7,1,1,6,11,2,3,8,7,9,8,6,7,8,6,6,7,5,8,6,14,12,18,8
" "," ","35-39 years",1,1,5,2,1,5,3,2,3,2,2,4,5,5,4,7,4,5,9,1,9,3,1,3,3
" "," ","40-44 years",2,0,0,3,1,2,3,1,2,2,0,3,4,8,2,2,1,5,4,2,3,3,4,3,4
" "," ","45-49 years",1,1,0,0,2,1,0,0,0,2,0,2,2,4,3,2,2,2,1,1,5,2,2,2,3
" "," ","50-54 years",1,0,0,1,0,1,3,0,2,2,0,0,0,1,2,4,3,2,2,3,0,2,3,2,1
" "," ","55-59 years",0,0,0,1,0,0,1,0,0,1,3,2,3,2,0,2,1,3,2,1,4,5,1,0,1
" "," ","60-64 years",1,0,0,0,0,0,1,1,1,1,2,1,1,0,1,3,0,1,1,1,1,2,2,2,2
" "," ","65-69 years",1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,0,1,0,2,1
" "," ","70-74 years",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
" "," ","75 years and over",0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
" ","Waimakariri District","0-4 years",5,6,9,8,8,4,7,7,8,12,14,18,23,11,17,7,16,16,13,19,12,16,26,24,23
" "," ","5-9 years",8,7,5,5,5,12,11,3,7,6,9,19,16,17,14,22,21,6,17,14,8,18,16,17,24
" "," ","10-14 years",5,2,3,7,4,8,3,9,6,4,8,12,10,20,11,14,18,15,9,12,9,14,12,10,19
" "," ","15-19 years",19,8,11,10,13,8,15,21,13,13,7,12,14,20,20,18,21,27,22,26,22,31,29,24,22
" "," ","20-24 years",31,30,20,17,22,22,27,17,26,29,34,27,24,30,18,24,16,26,29,29,19,32,27,32,45
" "," ","25-29 years",25,23,38,20,34,45,30,46,45,53,44,45,53,56,27,45,51,40,34,25,37,32,45,49,51
" "," ","30-34 years",15,12,12,9,16,17,13,13,15,23,22,26,29,33,29,34,34,22,23,32,22,23,31,26,34
" "," ","35-39 years",10,6,11,6,10,13,11,7,14,7,11,11,18,20,26,24,28,30,25,15,13,19,20,18,33
" "," ","40-44 years",8,6,3,4,6,6,4,4,6,4,8,9,15,19,21,25,11,9,12,12,21,17,16,10,28
" "," ","45-49 years",2,5,4,5,1,5,4,2,5,7,3,7,12,6,11,10,18,12,7,12,13,7,11,11,14
" "," ","50-54 years",6,3,5,1,0,1,6,1,1,6,9,12,3,9,9,11,9,6,4,10,7,16,9,9,9
" "," ","55-59 years",3,1,1,5,1,3,3,2,3,4,4,9,10,10,8,7,12,7,5,7,8,5,10,5,14
" "," ","60-64 years",1,0,2,2,0,2,0,0,1,2,2,1,3,2,3,3,7,4,5,3,9,8,5,9,10
" "," ","65-69 years",1,1,1,0,1,1,0,4,6,1,1,2,5,3,1,6,12,0,6,3,4,4,6,3,7
" "," ","70-74 years",1,0,0,0,2,1,1,1,2,1,2,0,2,2,3,1,0,2,3,3,0,1,4,6,0
" "," ","75 years and over",0,0,0,0,0,0,0,1,3,0,3,3,0,3,1,0,2,2,0,1,5,1,2,1,3
" ","Christchurch City","0-4 years",133,128,139,196,181,181,169,134,134,130,153,163,233,200,222,202,223,262,202,179,151,204,229,277,250
" "," ","5-9 years",91,113,131,151,201,170,144,126,114,105,154,172,185,200,201,191,209,186,163,156,113,118,199,179,204
" "," ","10-14 years",110,120,160,164,212,219,163,131,98,116,160,209,202,188,189,205,199,195,198,175,108,108,123,159,155
" "," ","15-19 years",180,263,314,328,392,342,265,228,274,305,420,555,524,374,393,352,376,396,423,328,265,236,317,347,328
" "," ","20-24 years",420,381,391,416,452,452,421,400,369,412,550,641,759,630,617,591,549,619,640,561,447,468,619,615,770
" "," ","25-29 years",499,427,454,536,553,642,699,650,682,683,769,810,908,879,839,867,773,822,813,766,626,732,833,961,1004
" "," ","30-34 years",224,222,274,360,357,375,359,267,288,339,381,451,526,501,513,489,436,489,430,391,351,406,460,518,565
" "," ","35-39 years",120,141,176,234,275,232,215,191,159,188,200,258,319,289,286,306,311,321,298,282,178,199,283,300,352
" "," ","40-44 years",104,111,166,188,232,230,156,139,126,127,154,214,206,204,214,252,237,188,184,176,141,152,203,227,219
" "," ","45-49 years",68,66,86,99,118,127,101,107,89,90,96,142,139,135,156,135,122,136,122,110,86,101,110,138,127
" "," ","50-54 years",55,44,43,50,65,61,57,63,74,76,66,93,99,103,101,78,94,96,113,105,87,92,122,107,102
" "," ","55-59 years",26,23,36,33,36,44,34,54,44,32,54,58,62,74,67,89,72,94,80,69,69,77,95,109,109
" "," ","60-64 years",21,23,23,29,20,19,29,35,37,35,27,45,36,44,45,60,64,74,75,70,59,70,81,98,98
" "," ","65-69 years",22,14,13,21,28,11,30,12,25,27,26,32,21,20,27,38,38,37,43,41,31,34,42,37,50
" "," ","70-74 years",7,6,12,8,9,15,12,15,14,14,18,24,16,22,7,15,21,10,19,17,14,13,11,18,21
" "," ","75 years and over",19,9,8,16,24,20,12,14,15,11,11,25,27,21,23,30,22,22,23,20,19,17,26,22,22
" ","Selwyn District","0-4 years",3,9,13,6,11,15,11,8,11,7,6,10,12,14,12,13,17,17,17,23,14,12,13,25,34
" "," ","5-9 years",3,5,2,2,7,8,3,2,6,6,6,7,14,10,2,7,17,17,23,6,12,14,12,17,23
" "," ","10-14 years",6,4,2,6,4,6,11,2,3,7,4,3,6,9,9,10,21,12,7,11,5,7,14,13,12
" "," ","15-19 years",11,13,26,16,7,17,12,5,7,24,16,23,18,16,20,21,21,23,27,26,26,22,18,21,24
" "," ","20-24 years",13,34,44,62,61,56,76,19,24,15,39,43,38,31,23,22,40,29,39,31,39,30,49,56,60
" "," ","25-29 years",24,26,12,17,21,24,17,24,24,37,27,45,32,25,30,35,33,44,42,48,28,46,44,45,50
" "," ","30-34 years",13,7,5,8,13,16,12,8,12,10,15,20,28,22,28,19,30,26,32,35,15,31,37,27,56
" "," ","35-39 years",1,6,5,10,9,9,13,7,11,11,12,10,18,10,13,21,21,22,20,23,12,21,21,23,33
" "," ","40-44 years",4,3,5,5,5,5,5,4,5,8,6,5,11,6,6,15,10,13,17,14,4,9,14,21,18
" "," ","45-49 years",1,0,4,4,2,5,4,1,4,4,5,2,7,4,5,9,11,6,12,6,5,6,5,5,9
" "," ","50-54 years",0,1,2,3,0,2,1,0,0,0,3,1,1,1,3,2,1,5,3,4,3,5,1,9,9
" "," ","55-59 years",1,1,0,2,1,0,0,2,1,4,3,3,4,4,2,2,4,3,6,3,5,6,3,4,16
" "," ","60-64 years",0,0,0,0,1,0,0,1,1,0,3,2,2,0,0,3,9,5,4,4,4,3,6,3,8
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,3,3,1,3,5
" "," ","70-74 years",0,0,1,0,2,0,0,0,1,0,0,0,2,1,1,2,1,0,0,1,0,1,2,3,6
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,1,2,3,4,1
" ","Ashburton District","0-4 years",2,3,5,9,7,8,2,3,6,8,11,9,15,10,9,12,11,20,15,9,12,18,18,15,17
" "," ","5-9 years",2,3,3,4,9,9,2,3,3,3,11,9,20,15,8,6,12,15,17,9,9,14,10,14,8
" "," ","10-14 years",2,7,3,5,10,4,4,3,3,7,5,7,12,10,6,11,7,5,9,4,1,10,14,12,9
" "," ","15-19 years",7,9,13,9,7,14,12,9,9,18,11,21,15,15,16,15,7,16,13,12,10,13,12,11,16
" "," ","20-24 years",30,17,27,21,22,25,16,22,14,17,21,25,26,27,25,16,31,43,28,30,24,30,30,37,35
" "," ","25-29 years",25,29,32,29,26,27,25,25,33,34,37,29,46,34,36,43,32,46,51,29,37,38,53,47,52
" "," ","30-34 years",14,13,13,14,15,18,10,10,12,17,24,18,29,24,30,22,23,25,32,11,18,17,24,27,36
" "," ","35-39 years",5,8,9,8,8,11,4,8,4,7,8,17,19,15,14,16,20,6,20,11,11,17,20,29,11
" "," ","40-44 years",0,4,6,2,4,4,2,3,5,5,8,5,14,5,8,13,9,19,13,8,7,12,13,9,11
" "," ","45-49 years",1,2,3,2,6,4,3,0,2,2,3,6,8,6,11,9,8,10,3,3,6,3,9,5,15
" "," ","50-54 years",1,1,0,2,0,4,2,0,2,3,4,3,2,2,3,6,4,7,1,5,5,5,7,6,11
" "," ","55-59 years",2,1,0,2,2,2,1,0,1,2,3,2,3,4,1,2,2,1,3,3,1,0,3,4,4
" "," ","60-64 years",0,0,0,1,1,0,0,3,2,2,2,3,1,2,0,5,1,3,0,4,5,6,2,3,4
" "," ","65-69 years",0,0,0,1,0,1,0,2,1,0,2,1,2,0,0,1,2,1,2,0,1,1,0,3,6
" "," ","70-74 years",1,0,0,1,0,0,0,0,1,0,0,0,1,1,4,2,2,0,1,1,1,3,1,1,1
" "," ","75 years and over",1,0,1,0,0,1,1,1,0,0,1,1,0,1,2,1,2,0,1,1,0,2,1,0,1
" ","Timaru District","0-4 years",9,13,15,12,17,13,14,10,10,9,15,9,19,15,13,18,15,10,15,10,17,16,8,27,9
" "," ","5-9 years",14,8,11,2,16,10,14,14,9,4,16,14,14,19,13,18,15,9,15,8,5,11,11,16,12
" "," ","10-14 years",6,7,10,5,10,9,11,11,8,16,19,14,20,22,22,22,10,14,15,14,15,12,11,15,5
" "," ","15-19 years",25,16,25,32,22,27,17,18,26,29,42,50,36,30,29,25,25,23,20,31,14,21,15,21,20
" "," ","20-24 years",49,37,38,35,22,28,27,21,20,27,32,38,24,24,28,26,35,19,33,18,18,21,28,42,31
" "," ","25-29 years",50,51,52,57,57,37,48,53,49,56,54,64,71,65,48,44,45,41,45,42,31,38,39,59,35
" "," ","30-34 years",25,26,24,17,25,20,23,19,15,23,33,34,27,42,34,41,17,21,25,14,29,27,22,26,36
" "," ","35-39 years",5,12,10,11,19,16,19,12,14,17,22,14,26,25,22,27,22,24,26,20,15,22,22,22,21
" "," ","40-44 years",10,3,9,6,7,12,7,6,11,11,16,7,9,21,22,13,16,12,19,14,8,12,6,18,16
" "," ","45-49 years",5,3,3,5,8,2,4,7,5,7,11,9,9,8,8,13,10,5,11,10,6,13,6,13,11
" "," ","50-54 years",3,1,3,1,6,3,2,3,1,3,5,2,6,13,6,6,4,13,9,4,7,10,11,12,7
" "," ","55-59 years",4,1,3,1,2,1,4,2,0,3,2,3,7,11,8,3,6,2,1,8,6,8,4,7,12
" "," ","60-64 years",0,1,2,1,5,1,2,1,3,0,4,3,2,5,4,6,4,7,1,2,3,7,5,9,6
" "," ","65-69 years",0,0,1,0,0,0,2,2,3,3,1,1,1,4,2,1,3,3,1,4,3,8,3,4,3
" "," ","70-74 years",1,2,0,0,0,0,0,0,1,0,2,4,0,0,0,1,0,0,1,2,0,3,0,2,3
" "," ","75 years and over",4,3,3,1,2,1,0,0,0,2,1,1,2,1,1,2,2,4,2,5,0,2,2,1,3
" ","Mackenzie District","0-4 years",1,3,0,4,1,0,1,1,0,0,3,3,0,3,1,1,0,1,2,1,1,1,0,3,4
" "," ","5-9 years",1,2,2,3,1,4,2,2,1,0,2,0,2,0,1,1,0,4,2,0,0,3,0,2,1
" "," ","10-14 years",1,1,0,2,0,1,2,2,2,1,0,0,0,1,2,5,0,0,0,0,0,3,0,6,4
" "," ","15-19 years",0,2,1,0,0,3,3,4,4,1,0,2,1,2,1,3,4,2,3,1,1,2,1,2,1
" "," ","20-24 years",5,6,5,7,9,5,6,7,2,2,3,4,7,7,8,8,6,1,5,6,4,6,8,10,10
" "," ","25-29 years",4,8,4,6,5,8,4,3,7,7,9,5,4,7,9,5,18,11,9,1,3,6,7,7,12
" "," ","30-34 years",2,5,5,4,1,1,6,3,3,2,7,3,6,5,5,1,4,4,0,0,5,6,2,6,8
" "," ","35-39 years",2,0,0,1,1,3,2,7,0,1,0,1,2,3,2,3,2,5,2,2,3,0,1,0,3
" "," ","40-44 years",2,0,0,3,1,2,1,1,1,1,1,0,0,0,2,3,1,1,1,3,0,1,1,2,2
" "," ","45-49 years",1,2,0,0,1,0,0,0,2,3,1,1,2,0,1,1,1,1,0,0,1,0,1,3,2
" "," ","50-54 years",2,0,0,0,2,0,1,0,0,1,1,1,1,1,0,1,0,3,1,0,0,1,0,0,2
" "," ","55-59 years",0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,1,1,0,0,0,1,0,1,0,3
" "," ","60-64 years",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
" ","Waimate District","0-4 years",1,1,4,0,1,2,0,3,2,1,0,1,3,2,0,4,2,1,2,1,0,2,2,6,2
" "," ","5-9 years",0,0,1,0,2,5,0,0,1,0,1,1,7,2,1,0,1,0,0,1,3,2,4,6,2
" "," ","10-14 years",2,1,0,0,2,1,2,0,0,1,0,0,2,1,1,0,2,1,0,0,2,1,4,2,2
" "," ","15-19 years",3,3,0,1,2,0,5,4,0,4,5,4,7,8,0,1,1,1,3,2,1,0,2,3,8
" "," ","20-24 years",4,6,3,4,4,4,1,1,6,3,3,5,6,3,4,0,5,4,4,0,0,3,4,3,1
" "," ","25-29 years",2,5,5,4,8,10,3,4,6,4,11,5,11,4,13,7,1,6,2,6,2,4,4,7,9
" "," ","30-34 years",3,1,4,1,4,5,5,2,3,2,4,4,5,4,3,4,5,3,1,3,3,3,5,11,3
" "," ","35-39 years",1,2,3,2,0,3,2,0,1,1,2,0,7,3,2,0,2,1,3,1,3,1,2,3,3
" "," ","40-44 years",1,0,0,1,2,0,1,0,0,2,2,1,4,2,0,0,1,0,1,2,1,0,3,1,4
" "," ","45-49 years",0,0,0,0,0,2,0,1,0,1,0,1,3,1,2,0,0,2,0,1,1,5,1,0,3
" "," ","50-54 years",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,3,3,1,1,1,1,2
" "," ","55-59 years",0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,2,1,1,0,0,2,1,1,1,2
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
" "," ","70-74 years",0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0
" ","Chatham Islands Territory","0-4 years",0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
" "," ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
" "," ","15-19 years",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","20-24 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
" "," ","25-29 years",0,0,1,0,0,0,0,1,3,1,1,2,1,1,0,0,0,1,0,1,1,0,1,0,0
" "," ","30-34 years",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" "," ","35-39 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","40-44 years",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
" "," ","45-49 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
" "," ","50-54 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Waitaki District","0-4 years",9,9,5,10,8,2,7,5,3,5,8,10,7,6,11,8,12,12,6,10,5,5,9,6,12
" "," ","5-9 years",3,1,2,6,6,6,2,1,3,4,4,5,2,8,9,9,14,4,7,2,3,7,10,9,9
" "," ","10-14 years",3,3,1,8,10,11,2,5,5,2,11,5,5,9,11,4,7,4,6,2,2,2,4,8,5
" "," ","15-19 years",6,8,6,19,12,15,19,6,11,24,12,13,12,7,9,11,7,14,15,7,7,8,9,9,5
" "," ","20-24 years",10,16,17,13,11,29,16,7,18,11,25,14,24,13,12,10,14,9,12,11,8,9,15,4,20
" "," ","25-29 years",22,31,20,21,22,24,17,22,28,32,23,24,22,23,29,24,13,18,17,20,15,21,22,22,17
" "," ","30-34 years",11,7,3,15,18,11,9,6,4,12,14,12,8,14,12,19,18,24,11,11,12,6,15,18,20
" "," ","35-39 years",3,4,4,7,10,7,6,2,5,1,7,9,8,9,14,10,14,9,9,5,5,9,9,6,6
" "," ","40-44 years",3,2,3,3,5,7,4,4,2,5,4,7,9,8,6,9,4,5,5,4,5,7,8,9,5
" "," ","45-49 years",1,1,4,1,1,5,2,1,3,1,3,7,2,5,5,5,3,10,3,2,2,4,1,2,7
" "," ","50-54 years",1,2,0,1,4,2,0,1,1,2,2,2,3,4,1,3,3,6,7,3,1,4,2,2,6
" "," ","55-59 years",0,2,0,0,1,2,1,0,1,3,2,1,1,1,1,4,1,1,5,5,4,3,6,3,4
" "," ","60-64 years",1,0,1,1,1,2,0,1,1,1,0,1,0,1,1,2,2,6,2,2,5,2,1,8,0
" "," ","65-69 years",0,2,0,0,0,1,0,1,4,0,2,0,0,0,4,0,1,2,1,1,0,2,3,1,0
" "," ","70-74 years",1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1
" "," ","75 years and over",1,0,0,2,3,2,0,0,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,1,1
" ","Central Otago District","0-4 years",4,4,2,6,3,4,3,5,2,6,3,5,8,5,7,6,5,6,6,6,9,5,6,5,7
" "," ","5-9 years",3,3,0,2,6,4,4,4,2,5,4,6,3,5,6,2,3,5,4,3,6,5,7,7,4
" "," ","10-14 years",1,1,2,1,5,2,4,1,2,6,2,3,6,5,3,7,3,3,4,2,8,4,2,5,3
" "," ","15-19 years",5,3,5,8,5,5,7,1,5,1,6,5,6,6,2,7,2,6,9,5,5,8,4,8,3
" "," ","20-24 years",15,13,12,9,9,11,11,9,8,9,10,12,17,13,12,3,13,7,10,12,9,12,14,14,16
" "," ","25-29 years",33,12,14,17,26,15,13,11,17,23,22,33,25,23,22,17,24,25,20,20,13,24,27,27,22
" "," ","30-34 years",9,6,7,16,7,8,5,8,5,7,10,13,20,14,20,17,9,15,14,13,11,12,12,12,14
" "," ","35-39 years",3,7,4,4,5,6,4,3,2,6,5,5,9,8,11,9,5,2,7,10,9,9,10,6,12
