"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","35-39 years",6,6,3,6,6,9,12,11,9,8,6,9,7,6,13,8,9,20,16,15,16,24,16,9,11
" "," ","40-44 years",5,4,5,5,3,9,5,9,8,11,9,8,1,10,4,7,13,15,18,11,13,15,16,9,12
" "," ","45-49 years",3,3,2,8,5,4,7,11,8,12,10,8,6,5,9,9,12,17,8,13,10,18,13,11,9
" "," ","50-54 years",2,3,1,2,7,5,4,3,4,5,5,5,8,7,7,8,10,16,7,12,22,19,8,6,8
" "," ","55-59 years",0,2,2,4,1,7,2,3,2,3,3,4,3,2,4,8,2,7,4,13,14,10,11,10,7
" "," ","60-64 years",1,0,0,0,0,1,0,1,1,2,2,2,2,1,6,2,2,3,1,2,4,4,9,5,5
" "," ","65-69 years",0,1,0,1,1,1,1,2,2,0,1,1,2,0,0,1,2,2,3,3,2,4,1,4,4
" "," ","70-74 years",1,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,2
" "," ","75 years and over",0,0,1,3,2,3,0,2,2,1,0,0,1,2,0,1,0,1,0,0,0,1,2,1,0
" ","Nelson City","0-4 years",13,14,16,10,14,17,19,26,19,14,16,19,10,21,19,17,9,21,14,18,10,20,14,22,21
" "," ","5-9 years",8,9,10,7,11,13,13,21,19,18,16,23,8,12,16,6,14,20,6,16,11,13,13,15,8
" "," ","10-14 years",5,7,13,10,9,10,9,20,21,18,12,10,12,9,11,17,7,17,12,5,11,12,10,9,9
" "," ","15-19 years",22,28,32,33,24,28,30,44,35,58,47,41,45,45,31,55,39,45,29,30,40,47,47,24,35
" "," ","20-24 years",70,52,77,86,84,88,93,126,109,119,80,84,74,80,88,91,80,118,66,69,94,77,96,71,60
" "," ","25-29 years",39,28,28,39,52,66,76,65,77,82,74,63,61,66,62,56,69,62,62,63,59,56,52,54,65
" "," ","30-34 years",16,15,15,18,20,22,37,51,46,41,33,31,28,33,31,42,31,33,30,16,23,36,22,21,22
" "," ","35-39 years",10,11,11,14,18,20,25,27,41,34,26,22,17,24,29,18,33,24,24,25,20,26,14,14,19
" "," ","40-44 years",13,8,14,9,11,14,19,17,17,24,18,16,14,15,20,29,24,25,17,14,23,15,17,11,12
" "," ","45-49 years",5,8,15,10,10,12,17,21,12,20,14,9,22,15,15,21,20,24,17,13,23,21,17,13,10
" "," ","50-54 years",7,4,4,3,5,7,11,7,15,15,11,15,13,9,18,24,22,21,16,25,17,19,17,8,14
" "," ","55-59 years",2,7,2,8,7,5,10,8,15,6,5,7,6,14,12,9,8,9,14,8,15,12,8,10,12
" "," ","60-64 years",1,3,4,5,5,2,4,5,5,2,3,5,2,3,5,5,6,5,1,6,7,6,9,8,8
" "," ","65-69 years",2,3,2,4,2,1,5,3,3,2,2,0,2,2,2,4,5,3,1,3,2,5,3,4,0
" "," ","70-74 years",2,3,1,1,4,2,1,1,1,2,1,0,3,1,0,3,1,2,2,1,2,5,0,2,2
" "," ","75 years and over",1,2,1,1,2,5,2,7,7,3,2,2,2,2,1,0,1,4,1,3,0,0,1,0,2
" ","Marlborough District","0-4 years",4,8,2,6,4,13,9,9,12,13,16,13,9,5,14,11,11,20,8,14,16,20,9,7,10
" "," ","5-9 years",6,8,6,4,5,10,9,11,7,15,18,9,5,6,9,11,9,12,10,16,13,13,14,6,7
" "," ","10-14 years",8,9,5,7,5,8,4,10,6,18,8,9,4,10,10,10,8,8,6,15,16,13,10,6,3
" "," ","15-19 years",14,20,22,21,15,24,19,31,24,28,25,11,20,21,27,20,33,22,29,18,26,35,26,12,20
" "," ","20-24 years",45,46,37,31,42,55,49,58,61,58,65,49,64,63,58,63,63,54,43,54,79,66,52,51,62
" "," ","25-29 years",26,24,19,30,25,32,27,44,51,53,55,40,40,51,44,50,44,71,51,57,73,59,53,43,54
" "," ","30-34 years",8,14,7,12,9,10,15,15,19,25,33,22,17,19,20,27,19,31,26,35,27,33,34,22,21
" "," ","35-39 years",6,9,5,8,8,13,9,13,12,26,17,17,9,8,14,25,20,22,12,19,17,25,15,10,7
" "," ","40-44 years",4,5,6,5,9,13,9,12,11,10,13,16,7,14,16,18,14,13,14,23,15,18,15,6,4
" "," ","45-49 years",2,7,3,7,2,11,3,9,5,13,11,8,7,11,15,11,12,28,9,17,14,16,13,10,5
" "," ","50-54 years",1,1,4,1,4,2,7,4,11,7,11,9,6,15,10,6,13,12,8,12,16,18,8,8,7
" "," ","55-59 years",2,4,2,3,5,3,2,3,6,3,6,7,2,9,6,7,5,10,8,7,14,15,11,9,6
" "," ","60-64 years",4,4,2,2,2,2,3,3,4,1,1,3,2,3,3,3,4,7,6,6,5,4,2,8,2
" "," ","65-69 years",2,0,1,1,4,3,3,5,4,5,2,2,0,1,5,2,2,1,0,4,3,2,8,2,1
" "," ","70-74 years",2,1,2,1,0,1,1,0,1,1,0,1,0,0,1,0,2,1,1,4,0,1,0,1,1
" "," ","75 years and over",3,0,1,4,0,2,3,0,2,2,3,3,1,1,3,1,1,2,2,1,2,2,1,1,1
" ","Kaikoura District","0-4 years",1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,4,3,2,0,1
" "," ","5-9 years",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,4,1,0,2
" "," ","10-14 years",0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,3,3,0,1,1
" "," ","15-19 years",3,0,3,2,0,1,0,1,0,1,2,1,0,1,2,1,9,1,2,1,5,3,2,2,3
" "," ","20-24 years",7,3,4,3,4,4,6,6,5,1,3,3,3,12,13,7,8,7,13,7,5,6,4,3,2
" "," ","25-29 years",0,0,2,1,3,2,7,4,2,3,2,2,3,1,4,4,4,4,4,4,12,3,3,5,2
" "," ","30-34 years",1,0,2,0,1,1,0,0,0,1,1,4,0,2,1,4,1,1,2,4,6,2,3,3,2
" "," ","35-39 years",0,0,0,1,0,0,1,0,0,0,2,2,0,1,3,1,4,0,1,1,0,2,4,0,0
" "," ","40-44 years",2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,0,0,2,4,1,2,0
" "," ","45-49 years",1,0,0,0,0,1,0,2,1,1,0,0,1,2,0,2,1,5,1,1,3,0,1,1,0
" "," ","50-54 years",0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,1,4,1,1,0,3
" "," ","55-59 years",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,0,0,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" "," ","70-74 years",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" ","Buller District","0-4 years",2,0,1,6,1,2,5,3,2,5,2,4,1,2,2,2,6,3,3,2,7,7,6,1,0
" "," ","5-9 years",3,2,3,3,5,3,5,1,5,2,1,7,2,4,2,1,1,3,3,0,6,3,4,0,1
" "," ","10-14 years",1,0,1,1,4,1,1,1,2,2,5,4,5,4,3,2,4,6,1,0,8,3,2,0,2
" "," ","15-19 years",4,1,2,3,10,5,4,8,6,6,9,3,3,3,4,4,7,11,2,7,11,5,5,2,3
" "," ","20-24 years",12,13,9,22,10,12,6,14,9,16,3,8,8,12,13,7,11,12,5,10,10,16,13,10,5
" "," ","25-29 years",7,3,3,5,3,4,7,10,11,8,10,6,7,9,4,6,13,9,7,9,12,12,17,10,3
" "," ","30-34 years",2,5,4,3,3,5,4,7,7,2,4,7,2,2,4,3,4,6,3,7,6,8,3,3,2
" "," ","35-39 years",2,0,3,1,3,3,2,1,5,2,5,4,5,1,3,5,3,4,5,3,6,4,5,1,1
" "," ","40-44 years",0,2,2,2,6,3,1,3,4,4,2,5,4,2,1,2,1,4,2,0,4,3,7,1,2
" "," ","45-49 years",1,1,0,1,4,2,2,2,2,1,0,3,1,3,3,1,1,4,1,0,5,5,0,2,1
" "," ","50-54 years",2,0,1,0,0,2,1,0,3,2,1,1,4,2,2,4,1,0,0,2,1,2,2,0,2
" "," ","55-59 years",0,0,0,1,2,0,1,0,0,0,0,1,0,0,2,1,3,1,1,0,2,0,1,3,1
" "," ","60-64 years",1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,0,0,1,1,1,0,1
" "," ","65-69 years",1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
" "," ","70-74 years",0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
" ","Grey District","0-4 years",0,0,3,2,1,1,2,1,4,3,1,1,1,1,3,1,1,2,2,2,8,3,1,3,2
" "," ","5-9 years",0,2,1,3,4,3,2,3,6,1,4,2,2,1,3,3,3,2,1,2,5,4,3,0,1
" "," ","10-14 years",1,1,1,2,2,2,2,1,4,3,4,2,3,3,3,2,2,4,4,3,5,3,4,6,6
" "," ","15-19 years",7,9,1,9,13,9,5,4,2,3,2,3,5,8,10,7,8,6,5,8,10,10,6,11,6
" "," ","20-24 years",16,8,16,18,20,20,18,10,16,12,7,12,10,12,15,12,20,11,10,17,18,15,16,7,2
" "," ","25-29 years",6,5,4,6,7,3,10,12,16,13,14,10,6,8,11,11,7,10,11,11,15,11,7,6,7
" "," ","30-34 years",0,3,3,4,4,3,5,3,4,2,3,3,4,4,6,4,2,2,3,8,9,3,6,1,3
" "," ","35-39 years",1,3,3,2,3,4,2,2,3,2,3,5,2,3,3,2,2,4,2,3,9,7,4,4,1
" "," ","40-44 years",1,1,1,2,1,1,5,1,5,4,3,1,1,3,2,1,2,1,4,3,6,2,4,4,0
" "," ","45-49 years",3,1,0,1,1,5,3,3,0,2,1,1,1,1,2,3,4,3,5,4,5,7,6,1,3
" "," ","50-54 years",1,0,2,1,0,1,2,1,1,2,3,3,1,1,1,0,1,5,3,1,4,2,4,0,5
" "," ","55-59 years",0,0,0,1,0,0,1,1,0,2,1,0,0,0,2,2,1,0,2,1,0,3,5,2,2
" "," ","60-64 years",1,1,0,1,0,3,1,0,2,0,0,1,1,1,0,0,2,1,1,1,0,1,1,1,0
" "," ","65-69 years",0,0,0,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
" "," ","70-74 years",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" ","Westland District","0-4 years",3,0,2,1,5,2,2,4,1,0,0,3,2,4,3,1,2,2,4,0,1,0,3,3,2
" "," ","5-9 years",0,0,1,0,2,2,6,4,3,1,3,1,2,2,2,2,0,3,1,0,1,0,0,1,0
" "," ","10-14 years",1,1,1,2,1,2,0,0,3,1,1,0,1,2,3,0,0,0,0,0,0,0,2,1,0
" "," ","15-19 years",5,4,1,5,6,1,3,5,3,5,4,1,7,6,8,3,9,3,3,4,10,5,4,4,2
" "," ","20-24 years",8,13,9,5,6,12,8,15,18,12,9,8,11,9,17,10,13,9,15,11,8,12,9,13,9
" "," ","25-29 years",6,3,4,5,4,4,11,14,15,4,6,14,6,11,9,7,8,12,9,7,10,15,7,8,15
" "," ","30-34 years",3,3,0,2,5,6,2,3,5,1,3,6,0,6,6,5,4,5,0,1,3,1,7,5,5
" "," ","35-39 years",1,0,0,1,2,1,1,2,7,1,1,1,1,3,4,0,1,1,2,0,1,2,6,1,1
" "," ","40-44 years",2,0,0,1,0,0,1,1,1,1,3,1,3,2,2,0,2,1,1,4,1,6,1,2,2
" "," ","45-49 years",0,0,2,2,0,0,2,2,0,3,1,2,1,0,1,2,1,2,1,3,2,0,4,0,1
" "," ","50-54 years",0,0,0,1,0,0,0,1,2,2,0,0,1,1,0,0,8,2,2,1,1,2,0,1,0
" "," ","55-59 years",0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,2,0,2,3,1,2,1,0
" "," ","60-64 years",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0
" "," ","65-69 years",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1
" "," ","70-74 years",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" ","Hurunui District","0-4 years",1,0,1,2,2,2,2,1,1,3,1,0,0,3,3,0,5,1,3,4,4,3,2,2,3
" "," ","5-9 years",4,0,2,1,2,2,0,1,0,4,0,0,1,2,1,2,5,1,2,2,4,0,0,2,1
" "," ","10-14 years",6,0,1,2,1,0,0,1,3,0,1,0,3,0,2,8,1,2,2,2,4,1,1,1,0
" "," ","15-19 years",6,2,5,5,10,3,1,5,7,7,9,5,2,4,13,6,9,7,11,5,6,8,5,10,9
" "," ","20-24 years",11,14,16,18,21,13,13,8,22,14,8,17,18,17,17,23,21,13,10,15,26,18,20,10,15
" "," ","25-29 years",5,2,6,6,7,12,7,8,12,6,8,5,7,13,17,13,20,8,9,11,11,16,8,5,10
" "," ","30-34 years",5,3,2,3,2,3,1,3,3,9,0,2,4,4,4,8,5,3,3,6,7,5,6,6,5
" "," ","35-39 years",4,0,3,2,2,1,3,2,1,7,5,1,5,1,5,6,6,4,4,3,4,2,6,1,3
" "," ","40-44 years",0,0,2,0,1,2,1,2,1,1,0,3,4,2,2,4,2,3,0,0,7,2,4,3,0
" "," ","45-49 years",1,1,0,0,3,0,0,3,4,1,1,2,3,1,2,1,4,5,2,3,3,5,1,4,0
" "," ","50-54 years",0,2,1,1,0,1,0,0,1,2,3,0,1,3,2,0,2,1,4,0,2,3,3,1,0
" "," ","55-59 years",0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,3,1,1,2,0,0,0
" "," ","60-64 years",0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2,2,3,1,1,1,1,2
" "," ","65-69 years",0,0,2,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
" "," ","70-74 years",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
" "," ","75 years and over",0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
" ","Waimakariri District","0-4 years",4,16,7,4,8,6,4,15,18,13,11,10,6,8,15,20,25,7,24,20,32,27,15,7,9
" "," ","5-9 years",5,17,8,5,5,7,7,10,20,16,18,4,7,14,16,15,21,15,21,17,23,21,11,9,8
" "," ","10-14 years",2,6,5,6,5,7,8,10,14,12,12,4,9,10,17,15,18,11,14,16,14,23,5,11,9
" "," ","15-19 years",21,20,13,15,21,22,12,13,29,31,23,23,13,24,22,18,18,21,18,33,36,34,30,18,28
" "," ","20-24 years",46,31,43,50,50,58,51,67,65,58,53,54,52,58,63,44,46,59,58,51,69,71,58,56,59
" "," ","25-29 years",20,27,17,28,23,29,42,33,48,50,46,46,38,39,45,36,40,44,45,44,55,37,43,29,37
" "," ","30-34 years",8,11,7,15,13,11,11,18,19,29,26,19,25,22,19,23,26,24,25,23,37,24,14,12,19
" "," ","35-39 years",4,9,6,5,8,10,11,13,10,18,15,9,10,12,19,19,27,20,20,21,28,29,18,13,9
" "," ","40-44 years",4,9,9,7,6,6,10,7,5,18,12,9,7,10,17,17,16,17,18,16,42,32,9,9,7
" "," ","45-49 years",1,4,1,3,4,6,5,5,8,11,9,4,7,5,14,8,15,13,7,9,20,20,9,7,11
" "," ","50-54 years",1,1,2,5,2,6,2,4,8,10,7,9,9,3,11,13,13,16,15,9,17,12,12,9,8
" "," ","55-59 years",0,2,0,3,5,7,5,0,0,4,4,4,5,3,9,4,4,8,15,10,11,11,8,5,5
" "," ","60-64 years",0,0,0,1,1,3,2,1,5,2,3,0,4,2,1,4,4,3,4,8,7,4,4,4,2
" "," ","65-69 years",3,0,0,2,2,1,3,3,2,2,1,1,2,3,1,1,1,0,1,2,1,2,6,4,6
" "," ","70-74 years",3,0,0,0,1,1,2,2,1,1,0,0,2,0,2,1,0,1,3,0,3,2,3,3,2
" "," ","75 years and over",0,1,0,0,0,1,2,0,1,0,1,1,1,0,0,3,1,0,0,2,3,4,1,4,0
" ","Christchurch City","0-4 years",96,90,98,101,102,127,133,151,142,196,153,88,102,122,142,137,205,183,115,137,267,188,111,92,102
" "," ","5-9 years",61,97,72,79,87,92,95,118,136,153,114,102,105,121,138,122,161,170,126,124,207,153,105,89,80
" "," ","10-14 years",57,71,75,82,88,74,98,103,100,120,125,95,127,153,154,131,175,164,155,144,237,132,81,75,76
" "," ","15-19 years",201,175,167,177,215,203,231,214,241,287,239,234,229,241,317,227,253,255,232,219,357,213,179,152,131
" "," ","20-24 years",546,542,475,556,612,700,725,663,758,793,711,599,611,709,703,684,720,693,579,622,740,613,464,442,400
" "," ","25-29 years",319,338,312,364,409,454,634,625,690,670,568,579,509,524,590,537,653,615,554,577,684,502,407,466,488
" "," ","30-34 years",153,175,153,176,185,202,283,283,331,349,331,291,232,265,284,278,294,336,271,270,413,280,226,202,168
" "," ","35-39 years",83,122,95,115,122,145,186,158,204,217,199,137,150,182,216,198,261,271,194,225,338,217,138,140,118
" "," ","40-44 years",70,81,86,76,80,108,109,111,129,167,156,125,125,154,139,166,162,200,169,154,260,178,109,109,100
" "," ","45-49 years",45,60,54,45,70,74,101,77,117,138,119,107,104,113,128,112,138,144,148,113,209,142,95,74,69
" "," ","50-54 years",21,40,43,53,52,56,66,73,67,106,112,77,71,88,113,120,122,119,100,104,176,137,93,70,89
" "," ","55-59 years",17,28,19,31,31,38,47,45,59,58,52,52,45,66,87,81,89,93,64,75,111,108,69,67,52
" "," ","60-64 years",14,21,20,12,32,23,33,20,27,19,33,22,29,34,37,32,42,42,40,40,77,52,40,45,37
" "," ","65-69 years",17,16,20,20,25,28,26,18,17,21,14,15,21,19,22,12,24,13,22,16,29,33,29,17,24
" "," ","70-74 years",18,12,11,11,16,17,19,20,15,15,7,11,10,12,8,8,9,12,12,12,15,16,6,10,10
" "," ","75 years and over",11,10,14,21,28,25,17,16,21,16,18,12,16,11,15,15,18,13,12,27,38,15,16,9,16
" ","Selwyn District","0-4 years",5,7,3,4,2,11,2,3,9,8,7,3,4,4,5,3,10,8,15,12,19,15,11,9,12
" "," ","5-9 years",4,11,1,7,5,6,6,4,9,12,6,9,1,6,3,4,6,10,10,4,19,17,5,7,10
" "," ","10-14 years",1,2,1,6,1,1,2,4,2,7,8,3,0,7,1,4,5,14,6,6,15,11,4,8,7
" "," ","15-19 years",3,3,6,4,6,12,8,9,14,12,10,8,8,12,19,17,15,15,11,15,31,15,14,15,16
" "," ","20-24 years",19,16,21,22,32,29,42,50,42,46,55,32,25,31,29,42,37,38,31,36,38,50,37,42,48
" "," ","25-29 years",13,10,14,14,8,19,17,23,37,30,34,22,23,29,30,21,31,33,31,29,44,38,37,43,43
" "," ","30-34 years",2,10,7,7,7,6,11,13,9,10,13,15,9,8,9,22,25,19,19,20,27,20,16,16,20
" "," ","35-39 years",1,7,6,4,6,6,8,7,12,11,8,8,4,11,8,12,11,7,14,14,18,14,12,16,11
" "," ","40-44 years",1,0,2,1,0,1,3,6,9,7,5,5,4,4,7,4,3,12,10,8,23,16,7,5,10
" "," ","45-49 years",0,1,2,1,1,1,4,3,2,3,5,4,2,4,4,6,7,7,10,9,13,13,7,10,8
" "," ","50-54 years",2,1,0,3,1,1,1,2,1,3,1,4,6,2,2,2,9,9,7,5,8,10,5,5,6
" "," ","55-59 years",0,1,3,0,0,2,2,2,2,1,1,2,1,1,3,4,5,5,3,5,7,7,6,9,8
" "," ","60-64 years",0,2,0,1,0,0,2,2,3,0,0,0,0,1,2,2,5,3,2,4,8,3,3,4,3
" "," ","65-69 years",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,4,1,2,2,4
" "," ","70-74 years",0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1,3,1,0
" "," ","75 years and over",0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,2,0,2,3,0,3,1
" ","Ashburton District","0-4 years",2,2,2,4,5,9,1,3,2,4,5,5,6,7,2,11,10,8,5,16,13,11,7,5,8
" "," ","5-9 years",4,1,2,5,11,8,5,6,6,7,6,3,6,7,5,8,8,7,5,6,11,8,10,6,7
" "," ","10-14 years",1,1,3,4,5,4,2,3,6,9,5,2,2,8,1,10,6,7,3,2,9,12,11,4,9
" "," ","15-19 years",19,10,13,13,15,12,18,15,12,23,9,13,14,10,14,4,17,14,17,13,14,16,15,13,14
" "," ","20-24 years",36,42,35,45,32,50,38,44,51,38,46,41,31,38,30,46,56,46,25,51,39,42,41,32,47
" "," ","25-29 years",11,17,12,22,16,23,37,29,22,31,42,39,38,37,34,32,42,25,21,36,42,29,39,28,42
" "," ","30-34 years",5,5,6,8,8,11,4,17,15,10,8,13,14,16,13,11,12,11,7,14,15,13,18,19,11
" "," ","35-39 years",4,1,3,4,11,5,8,4,6,13,9,7,5,9,4,10,11,16,14,7,14,11,12,5,6
" "," ","40-44 years",2,4,2,2,4,6,4,3,6,5,8,1,4,6,2,7,11,7,4,7,11,7,6,10,10
" "," ","45-49 years",1,2,2,3,1,2,2,8,3,8,3,1,4,6,6,5,8,7,10,7,10,6,6,2,5
" "," ","50-54 years",0,0,4,2,1,6,1,3,2,4,3,5,2,3,3,3,5,5,2,4,5,4,7,3,3
" "," ","55-59 years",1,1,3,1,1,2,0,0,6,0,2,2,0,2,3,3,2,6,2,1,4,2,3,3,2
" "," ","60-64 years",0,0,0,0,0,3,0,0,2,1,1,0,1,0,0,0,0,2,0,6,4,1,3,2,1
" "," ","65-69 years",0,0,0,1,3,0,1,0,2,1,0,3,1,0,3,0,1,0,0,2,1,0,1,4,0
" "," ","70-74 years",1,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1
" "," ","75 years and over",1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
" ","Timaru District","0-4 years",6,6,9,7,7,9,11,8,19,8,11,6,6,7,13,10,10,19,8,10,14,14,6,1,5
" "," ","5-9 years",12,7,10,4,9,8,6,8,15,7,11,8,6,9,12,11,13,14,5,4,15,7,5,8,7
" "," ","10-14 years",9,5,2,6,4,8,10,12,13,16,13,10,8,11,17,10,9,11,6,10,6,7,5,5,2
" "," ","15-19 years",22,23,19,24,20,18,20,32,26,38,30,18,28,28,39,21,24,22,14,23,26,33,23,18,21
" "," ","20-24 years",51,53,56,66,66,57,60,85,81,78,71,57,60,54,64,72,70,64,40,42,64,77,62,45,38
" "," ","25-29 years",31,28,28,15,30,40,42,64,55,55,77,47,54,38,56,50,53,62,35,42,59,35,36,28,46
" "," ","30-34 years",11,6,15,7,8,17,12,15,25,11,25,16,19,18,22,22,22,26,10,16,26,13,15,17,11
" "," ","35-39 years",6,15,11,13,7,11,6,9,21,14,11,11,12,15,20,16,13,15,18,14,14,9,6,10,5
" "," ","40-44 years",4,4,2,6,8,8,9,5,13,15,10,7,7,16,12,10,16,15,11,19,10,7,9,10,10
" "," ","45-49 years",4,2,3,4,7,7,6,7,10,6,13,6,8,6,12,12,10,18,5,8,8,12,5,8,3
" "," ","50-54 years",4,4,1,9,4,4,8,8,3,8,6,8,8,8,3,11,3,15,3,7,10,7,10,5,2
" "," ","55-59 years",1,3,2,6,3,4,2,3,3,6,1,6,4,11,4,7,8,9,3,9,4,8,9,8,6
" "," ","60-64 years",0,0,4,0,0,4,3,2,5,1,2,1,4,1,3,3,4,3,1,3,4,2,5,2,6
" "," ","65-69 years",0,0,1,1,2,1,2,2,0,0,1,0,1,2,0,0,2,1,1,1,4,0,2,4,1
" "," ","70-74 years",0,1,0,0,2,1,1,1,1,0,0,2,0,0,0,0,0,2,1,1,2,1,1,0,1
" "," ","75 years and over",1,2,4,2,1,2,0,1,0,0,1,0,2,1,0,1,0,1,2,1,3,0,1,0,2
" ","Mackenzie District","0-4 years",0,1,0,0,1,2,1,3,4,1,2,1,1,1,0,0,0,1,1,1,6,1,1,1,1
" "," ","5-9 years",0,0,0,0,1,2,0,1,0,0,4,0,1,1,0,3,0,3,3,1,3,1,0,2,1
" "," ","10-14 years",0,0,0,1,1,1,2,0,2,1,1,0,0,0,0,2,0,5,0,0,2,3,0,0,1
" "," ","15-19 years",3,0,2,1,2,4,3,4,2,9,0,4,3,2,2,1,1,6,0,2,3,1,1,2,1
" "," ","20-24 years",10,4,12,8,11,12,11,5,8,8,12,8,6,11,14,7,13,3,3,12,9,7,6,8,10
" "," ","25-29 years",3,3,2,4,6,4,8,10,8,11,5,5,8,5,8,8,2,9,9,8,10,6,8,9,6
" "," ","30-34 years",1,0,0,6,2,3,2,2,1,0,6,0,2,3,1,2,0,8,1,3,7,5,3,3,8
" "," ","35-39 years",0,0,1,2,0,3,3,2,2,2,3,1,0,1,0,4,1,1,0,0,2,1,0,0,3
" "," ","40-44 years",0,0,1,0,0,1,0,0,4,1,2,0,0,1,1,0,1,2,2,1,4,0,2,1,1
" "," ","45-49 years",1,0,1,0,0,1,0,0,2,3,1,0,0,0,0,0,2,2,0,0,1,1,2,0,1
" "," ","50-54 years",2,0,0,0,2,1,0,0,1,2,0,0,0,1,1,2,0,0,2,1,0,0,0,0,0
" "," ","55-59 years",0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,1,0,1,0,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
" "," ","65-69 years",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
" ","Waimate District","0-4 years",0,1,0,2,0,0,1,2,1,0,0,1,1,5,3,1,1,1,1,0,0,0,1,2,0
" "," ","5-9 years",1,3,0,1,1,0,0,1,3,0,0,2,0,3,0,1,0,0,0,1,0,1,0,0,0
" "," ","10-14 years",0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,4,3,1,1,0,1,3,0,2,0
" "," ","15-19 years",4,2,2,0,3,5,6,3,0,5,2,1,7,7,3,1,0,1,3,4,4,2,2,3,2
" "," ","20-24 years",5,7,6,5,4,2,13,7,10,8,9,1,8,7,7,2,7,2,2,4,6,5,5,2,3
" "," ","25-29 years",3,4,3,6,3,7,7,9,3,8,10,9,12,2,7,6,5,5,3,1,2,3,5,5,3
" "," ","30-34 years",0,2,2,1,2,0,1,3,1,2,2,0,0,1,2,2,1,1,4,2,1,0,2,1,0
" "," ","35-39 years",0,1,0,0,0,1,0,0,5,0,1,3,3,3,3,2,1,2,0,1,1,1,0,0,0
" "," ","40-44 years",0,0,0,0,0,3,1,2,0,1,0,0,1,0,0,1,1,1,0,1,2,1,2,1,1
